"participant_id","svo","corrected_score"
232,"HH",0.84375
232,"HVL",0.84375
232,"LVH",0.760416666666667
232,"LVL",0.84375
235,"HH",0.6875
235,"HVL",0.604166666666667
235,"LVH",0.4375
235,"LVL",0.354166666666667
236,"HH",0.84375
236,"HVL",0.760416666666667
236,"LVH",0.760416666666667
236,"LVL",0.84375
241,"HH",0.697916666666667
241,"HVL",0.697916666666667
241,"LVH",0.614583333333333
241,"LVL",0.697916666666667
242,"HH",0.895833333333333
242,"HVL",0.895833333333333
242,"LVH",0.895833333333333
242,"LVL",0.5625
243,"HH",0.927083333333333
243,"HVL",0.927083333333333
243,"LVH",0.84375
243,"LVL",0.84375
245,"HH",0.109375
245,"HVL",0.234375
245,"LVH",0.234375
245,"LVL",-0.015625
246,"HH",0.4375
246,"HVL",0.4375
246,"LVH",0.354166666666667
246,"LVL",0.4375
247,"HH",0.875
247,"HVL",0.708333333333333
247,"LVH",0.958333333333333
247,"LVL",0.791666666666667
249,"HH",0.510416666666667
249,"HVL",0.510416666666667
249,"LVH",0.59375
249,"LVL",0.34375
251,"HH",0.572916666666667
251,"HVL",0.572916666666667
251,"LVH",0.489583333333333
251,"LVL",0.572916666666667
252,"HH",0.895833333333333
252,"HVL",0.8125
252,"LVH",0.895833333333333
252,"LVL",0.729166666666667
253,"HH",0.875
253,"HVL",0.875
253,"LVH",0.875
253,"LVL",0.875
254,"HH",0.270833333333333
254,"HVL",0.604166666666667
254,"LVH",0.4375
254,"LVL",0.520833333333333
256,"HH",0.8125
256,"HVL",0.8125
256,"LVH",0.8125
256,"LVL",0.5625
257,"HH",0.354166666666667
257,"HVL",0.270833333333333
257,"LVH",0.354166666666667
257,"LVL",0.6875
258,"HH",0.875
258,"HVL",0.875
258,"LVH",0.75
258,"LVL",1
259,"HH",0.458333333333333
259,"HVL",0.541666666666667
259,"LVH",0.458333333333333
259,"LVL",0.541666666666667
260,"HH",0.677083333333333
260,"HVL",0.84375
260,"LVH",0.760416666666667
260,"LVL",0.677083333333333
261,"HH",0.739583333333333
261,"HVL",0.739583333333333
261,"LVH",0.739583333333333
261,"LVL",0.739583333333333
262,"HH",0.9375
262,"HVL",0.604166666666667
262,"LVH",0.9375
262,"LVL",0.520833333333333
263,"HH",0.65625
263,"HVL",0.322916666666667
263,"LVH",0.489583333333333
263,"LVL",0.65625
264,"HH",0.791666666666667
264,"HVL",0.875
264,"LVH",0.875
264,"LVL",0.708333333333333
266,"HH",0.708333333333333
266,"HVL",0.791666666666667
266,"LVH",0.708333333333333
266,"LVL",0.791666666666667
267,"HH",0.791666666666667
267,"HVL",0.708333333333333
267,"LVH",0.708333333333333
267,"LVL",0.791666666666667
269,"HH",0.96875
269,"HVL",0.802083333333333
269,"LVH",0.71875
269,"LVL",0.802083333333333
270,"HH",0.40625
270,"HVL",0.739583333333333
270,"LVH",0.822916666666667
270,"LVL",0.822916666666667
273,"HH",0.4375
273,"HVL",0.6875
273,"LVH",0.520833333333333
273,"LVL",0.520833333333333
276,"HH",0.625
276,"HVL",0.458333333333333
276,"LVH",0.791666666666667
276,"LVL",0.541666666666667
277,"HH",0.78125
277,"HVL",0.697916666666667
277,"LVH",0.78125
277,"LVL",0.78125
279,"HH",0.895833333333333
279,"HVL",0.895833333333333
279,"LVH",0.8125
279,"LVL",0.729166666666667
280,"HH",0.916666666666667
280,"HVL",0.916666666666667
280,"LVH",0.916666666666667
280,"LVL",0.833333333333333
281,"HH",0.364583333333333
281,"HVL",0.53125
281,"LVH",0.28125
281,"LVL",0.614583333333333
282,"HH",0.75
282,"HVL",0.666666666666667
282,"LVH",0.666666666666667
282,"LVL",0.583333333333333
283,"HH",0.520833333333333
283,"HVL",0.4375
283,"LVH",0.520833333333333
283,"LVL",0.4375
285,"HH",0.854166666666667
285,"HVL",0.9375
285,"LVH",0.9375
285,"LVL",0.854166666666667
286,"HH",0.375
286,"HVL",0.458333333333333
286,"LVH",0.541666666666667
286,"LVL",0.458333333333333
289,"HH",0.572916666666667
289,"HVL",0.739583333333333
289,"LVH",0.90625
289,"LVL",0.822916666666667
290,"HH",0.90625
290,"HVL",0.822916666666667
290,"LVH",0.739583333333333
290,"LVL",0.90625
292,"HH",0.520833333333333
292,"HVL",0.520833333333333
292,"LVH",0.604166666666667
292,"LVL",0.4375
293,"HH",0.822916666666667
293,"HVL",0.822916666666667
293,"LVH",0.739583333333333
293,"LVL",0.739583333333333
294,"HH",0.75
294,"HVL",0.75
294,"LVH",0.625
294,"LVL",0.625
295,"HH",0.864583333333333
295,"HVL",0.947916666666667
295,"LVH",0.864583333333333
295,"LVL",0.78125
296,"HH",0.708333333333333
296,"HVL",0.875
296,"LVH",0.791666666666667
296,"LVL",0.708333333333333
297,"HH",0.5625
297,"HVL",0.6875
297,"LVH",0.5625
297,"LVL",0.5625
298,"HH",0.65625
298,"HVL",0.572916666666667
298,"LVH",0.572916666666667
298,"LVL",0.322916666666667
302,"HH",0.645833333333333
302,"HVL",0.645833333333333
302,"LVH",0.5625
302,"LVL",0.479166666666667
303,"HH",0.864583333333333
303,"HVL",0.864583333333333
303,"LVH",0.78125
303,"LVL",0.78125
304,"HH",0.479166666666667
304,"HVL",0.479166666666667
304,"LVH",0.8125
304,"LVL",0.395833333333333
305,"HH",0.854166666666667
305,"HVL",0.854166666666667
305,"LVH",0.854166666666667
305,"LVL",0.854166666666667
307,"HH",0.822916666666667
307,"HVL",0.822916666666667
307,"LVH",0.822916666666667
307,"LVL",0.822916666666667
308,"HH",0.520833333333333
308,"HVL",0.604166666666667
308,"LVH",0.604166666666667
308,"LVL",0.604166666666667
309,"HH",0.364583333333333
309,"HVL",0.114583333333333
309,"LVH",0.03125
309,"LVL",0.03125
310,"HH",0.729166666666667
310,"HVL",0.895833333333333
310,"LVH",0.8125
310,"LVL",0.479166666666667
311,"HH",0.78125
311,"HVL",0.78125
311,"LVH",0.864583333333333
311,"LVL",0.697916666666667
312,"HH",0.84375
312,"HVL",0.677083333333333
312,"LVH",0.760416666666667
312,"LVL",0.677083333333333
313,"HH",0.489583333333333
313,"HVL",0.572916666666667
313,"LVH",0.489583333333333
313,"LVL",0.572916666666667
314,"HH",0.770833333333333
314,"HVL",0.770833333333333
314,"LVH",0.770833333333333
314,"LVL",0.604166666666667
316,"HH",0.854166666666667
